#Type|SubType|p1x|p1y|p2x|p2y|p1Lon|p1Lat|p2Lon|p2Lat|size
Airplane|Type1|662.81424630255|806.5759579154833|661.9301154074122|790.2197567436083|-86.69233773609389|30.42900949315927|-86.69234567837685|30.42913618476905|16.38007926940918
Airplane|Type1|630.9490623063457|806.3917661004764|629.6228904313457|791.4353690438968|-86.69262398591204|30.42901091987029|-86.69263589911669|30.42912676890379|15.01507759094238
Airplane|Type1|600.0969332926798|810.7202737531398|599.2864840500879|794.9534280500148|-86.69290113530245|30.42897739215569|-86.69290841569187|30.42909951878806|15.7876615524292
Airplane|Basic|687.8318454667723|707.5094331657789|688.6330661818182|720.7534765159986|-86.69211299917689|30.42977683859286|-86.69210580168875|30.42967425377339|13.26825714111328
Airplane|Basic|660.4364015145626|709.3357960959263|660.8605714423981|720.741704680521|-86.69235909663705|30.42976269208023|-86.69235528625376|30.42967434495492|11.41379261016846
Airplane|Basic|631.6557008706711|712.543534343039|632.3236696206711|723.1476851151338|-86.69261763806982|30.42973784580354|-86.69261163760444|30.42965570886206|10.62516784667969
Airplane|Basic|603.3710520048496|713.9003625174144|603.9555734773037|724.1704802771189|-86.69287172339365|30.42972733617596|-86.69286647254791|30.42964778655816|10.28673839569092
Airplane|Basic|574.7732889449417|716.5096474681358|575.3577616011917|727.6982708964805|-86.69312862147012|30.42970712535051|-86.69312337106292|30.42962046120945|11.20387935638428
Airplane|Basic|547.1148684672931|717.9708470405401|547.4488528422931|728.7419900001348|-86.69337708128862|30.42969580728642|-86.69337408105592|30.42961237683121|10.77631950378418
Airplane|Basic|542.5928691014391|664.1277552745464|543.0366190954786|674.3337126872661|-86.69341770310007|30.43011286071782|-86.69341371682604|30.43003380838174|10.21560001373291
Airplane|Basic|571.6207247746304|661.9706959357743|571.9165255499199|672.324602567244|-86.6931569414359|30.43012956865507|-86.69315428421233|30.43004937036125|10.35813140869141
Airplane|Basic|599.662496178669|661.2311327339095|600.3034630113068|672.3245899558943|-86.69290503791744|30.43013529709003|-86.6928992800144|30.43004937045893|11.11195850372314
Airplane|Basic|627.8891583831736|658.3961404600947|628.6287091525027|669.5882304945795|-86.69265147349665|30.43015725608763|-86.69264482999907|30.43007056549519|11.21649742126465
Airplane|Basic|656.4008440548191|656.0732987234545|657.0995745235691|667.6902420828295|-86.69239534866652|30.43017524811751|-86.69238907186391|30.43008526675295|11.63793754577637
Airplane|Basic|684.6789243293032|654.1080267352663|685.20299661877|664.5021679324709|-86.69214132234936|30.43019047051761|-86.69213661452787|30.43010996062891|10.40734481811523
Airplane|Basic|652.3611183013213|599.5171381744863|652.9724952425254|611.3960930618764|-86.69243163814039|30.43061331401551|-86.69242614604788|30.4305213036004|11.89467716217041
